id,title,artist,top genre,year,energy,danceability,liveness,acousticness,speechiness,pop
135,Don't Stop the Party (feat. TJR),Pitbull,dance pop,2012,96,72,38,1,9,59
136,You Da One,Rihanna,barbadian pop,2012,72,70,13,50,4,57
137,Stereo Hearts (feat. Adam Levine),Gym Class Heroes,dance pop,2012,80,65,27,3,10,54
138,It Will Rain,Bruno Mars,pop,2012,84,58,8,34,5,38
139,Blow Me (One Last Kiss),P!nk,dance pop,2012,92,60,25,0,4,0
140,Underneath the Tree,Kelly Clarkson,dance pop,2013,81,51,21,0,5,88
141,Wake Me Up,Avicii,big room,2013,78,53,16,0,5,85
142,Story of My Life,One Direction,boy band,2013,66,60,12,23,5,81
143,Just Give Me a Reason (feat. Nate Ruess),P!nk,dance pop,2013,55,78,13,35,5,81
144,Hall of Fame,The Script,celtic rock,2013,87,42,12,7,6,80
145,Roar,Katy Perry,dance pop,2013,77,55,35,0,4,78
146,We Can't Stop,Miley Cyrus,dance pop,2013,62,61,37,1,3,78
147,Don't You Worry Child - Radio Edit,Swedish House Mafia,big room,2013,84,61,12,11,5,78
148,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,electro,2013,81,79,10,4,4,77
149,Wrecking Ball,Miley Cyrus,dance pop,2013,42,53,11,41,3,77
150,Impossible,James Arthur,pop,2013,70,38,11,14,9,77
151,Blurred Lines,Robin Thicke,dance pop,2013,60,85,8,0,4,76
152,Heart Attack,Demi Lovato,dance pop,2013,79,50,24,7,10,76
153,We Are Never Ever Getting Back Together,Taylor Swift,pop,2013,68,63,12,1,9,75
154,Die Young,Kesha,dance pop,2013,70,71,22,0,5,75
155,Clarity,Zedd,complextro,2013,78,51,7,4,7,75
156,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,art pop,2013,81,57,13,2,6,74
157,Under Control,Calvin Harris,dance pop,2013,92,54,12,13,8,74
158,Everybody Talks,Neon Trees,indie pop,2013,92,47,31,0,6,74
159,"Hold On, We're Going Home",Drake,canadian hip hop,2013,41,77,7,0,10,73
160,Best Song Ever,One Direction,boy band,2013,88,65,8,2,5,73
161,Kiss You,One Direction,boy band,2013,93,63,32,2,6,73
162,Sweet Nothing (feat. Florence Welch),Calvin Harris,dance pop,2013,93,57,6,20,11,72
163,Lose Yourself to Dance,Daft Punk,electro,2013,66,83,8,8,6,72
164,Work Bitch,Britney Spears,dance pop,2013,82,63,7,16,16,71
165,Brave,Sara Bareilles,acoustic pop,2013,84,55,4,1,5,71
166,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,dance pop,2013,93,63,10,3,8,70
167,Feel This Moment (feat. Christina Aguilera),Pitbull,dance pop,2013,76,67,34,4,16,70
168,Beneath Your Beautiful,Labrinth,pop,2013,52,56,10,23,4,70
